name,team,bye,projected,pos
James Washington,PIT,4,53.5,WR
Olabisi Johnson,MIN,7,53.5,WR
Alshon Jeffery,PHI,9,52.4,WR
Adam Humphries,TEN,4,52.1,WR
Marquez Valdes-Scantling,GB,5,49.7,WR
Jakobi Meyers,NE,5,49.6,WR
Miles Boykin,BAL,7,48.5,WR
Van Jefferson,LAR,9,46.9,WR
Kenny Stills,HOU,8,46.5,WR
Josh Reynolds,LAR,9,45.5,WR
Willie Snead,BAL,7,45.5,WR
Phillip Dorsett,SEA,6,44.9,WR
Dede Westbrook,JAC,8,44.4,WR
Chase Claypool,PIT,4,44.2,WR
Keelan Cole,JAC,8,43.3,WR
Tim Patrick,DEN,5,43.3,WR
Dontrelle Inman,WAS,8,40.8,WR
Tre'Quan Smith,NO,6,39.7,WR
Chris Hogan,NYJ,10,39.6,WR
Riley Ridley,CHI,11,37.6,WR
Demarcus Robinson,KC,10,37.5,WR
JJ Arcega-Whiteside,PHI,9,36.9,WR
Zach Pascal,IND,7,36.6,WR
David Moore,SEA,6,36.5,WR
Rashard Higgins,CLE,9,36.5,WR
Joe Reed,LAC,6,36.2,WR
Andy Isabella,ARI,8,36.1,WR
Damiere Byrd,NE,5,35.6,WR
Devin Duvernay,BAL,7,34.4,WR
Equanimeous St. Brown,GB,5,33.6,WR
Denzel Mims,NYJ,10,31.5,WR
Scotty Miller,TB,13,31.5,WR
Antonio Gandy-Golden,WAS,8,30.5,WR
Cordarrelle Patterson,CHI,11,28.1,WR
Trent Taylor,SF,11,28.0,WR
Tajae Sharpe,MIN,7,27.9,WR
Greg Ward,PHI,9,27.5,WR
Andre Roberts,BUF,11,27.4,WR
Christian Blake,ATL,10,26.4,WR
KeeSean Johnson,ARI,8,26.2,WR
Nelson Agholor,LV,6,24.9,WR
Pharoh Cooper,CAR,13,24.4,WR
Auden Tate,CIN,9,23.7,WR
Javon Wims,CHI,11,21.5,WR
Ted Ginn Jr.,CHI,11,20.6,WR
KJ Hamler,DEN,5,20.2,WR
Kalif Raymond,TEN,4,19.5,WR
Deonte Harris,NO,6,19.1,WR
Cody Core,NYG,11,18.3,WR
Cedrick Wilson,DAL,10,13.6,WR
Seth Roberts,CAR,13,8.6,WR
Tyler Johnson,TB,13,8.6,WR
K.J. Osborn,MIN,7,8.3,WR
Justin Watson,TB,13,7.5,WR
Travis Kelce,KC,10,155.5,TE
George Kittle,SF,11,146.0,TE
Zach Ertz,PHI,9,127.5,TE
Mark Andrews,BAL,7,118.7,TE
Darren Waller,LV,6,115.9,TE
Hayden Hurst,ATL,10,105.2,TE
Chris Herndon,NYJ,10,94.9,TE
Rob Gronkowski,TB,13,94.7,TE
Evan Engram,NYG,11,94.1,TE
Noah Fant,DEN,5,91.6,TE
Tyler Higbee,LAR,9,91.5,TE
Jared Cook,NO,6,90.8,TE
Jonnu Smith,TEN,4,89.3,TE
Mike Gesicki,MIA,7,86.9,TE
Hunter Henry,LAC,6,83.6,TE
T.J. Hockenson,DET,5,81.5,TE
Austin Hooper,CLE,9,80.5,TE
Dallas Goedert,PHI,9,79.6,TE
Jack Doyle,IND,7,77.4,TE
Blake Jarwin,DAL,10,76.2,TE
Greg Olsen,SEA,6,74.5,TE
Eric Ebron,PIT,4,72.2,TE
Ian Thomas,CAR,13,70.6,TE
Darren Fells,HOU,8,68.5,TE
Dawson Knox,BUF,11,67.9,TE
Tyler Eifert,JAC,8,63.5,TE
Kyle Rudolph,MIN,7,63.1,TE
Irv Smith,MIN,7,56.9,TE
O.J. Howard,TB,13,54.8,TE
Nick Boyle,BAL,7,53.5,TE
Jimmy Graham,CHI,11,48.5,TE
David Njoku,CLE,9,47.7,TE
C.J. Uzomah,CIN,9,47.5,TE
Jordan Reed,SF,11,47.5,TE
Logan Thomas,WAS,8,46.9,TE
Jace Sternberger,GB,5,46.5,TE
Gerald Everett,LAR,9,46.5,TE
Will Dissly,SEA,6,40.9,TE
Devin Asiasi,NE,5,40.9,TE
Vance McDonald,PIT,4,40.8,TE
Robert Tonyan,GB,5,40.5,TE
Cole Kmet,CHI,11,38.9,TE
Jason Witten,LV,6,36.5,TE
Jordan Akins,HOU,8,35.1,TE
Jesse James,DET,5,35.1,TE
Maxx Williams,ARI,8,30.1,TE
Trey Burton,IND,7,29.7,TE
Anthony Firkser,TEN,4,29.1,TE
Foster Moreau,LV,6,28.5,TE
Tyler Kroft,BUF,11,27.5,TE
Ryan Griffin,NYJ,10,27.3,TE
Josh Hill,NO,6,26.5,TE
Nick Vannett,DEN,5,25.6,TE
Cameron Brate,TB,13,24.7,TE
Jeremy Sprinkle,WAS,8,24.5,TE
Blake Bell,DAL,10,20.6,TE
Ricky Seals-Jones,KC,10,20.5,TE
Dan Arnold,ARI,8,20.5,TE
Jacob Hollister,SEA,6,20.4,TE
Durham Smythe,MIA,7,17.3,TE
Deon Yelder,KC,10,14.8,TE
Demetrius Harris,CHI,11,14.6,TE
Jaeden Graham,ATL,10,14.5,TE
Chris Manhertz,CAR,13,14.2,TE
Albert Okwuegbunam,DEN,5,12.4,TE
Kaden Smith,NYG,11,11.3,TE
Mo Alie-Cox,IND,7,8.8,TE
Virgil Green,LAC,6,8.8,TE
Drew Sample,CIN,9,8.2,TE
Levine Toilolo,NYG,11,8.2,TE
Dalton Schultz,DAL,10,7.7,TE
Marcedes Lewis,GB,5,6.6,TE
Harrison Butker,KC,10,135.0,K
Justin Tucker,BAL,7,132.0,K
Wil Lutz,NO,6,132.0,K
Greg Zuerlein,DAL,10,122.0,K
Zane Gonzalez,ARI,8,122.0,K
Matt Prater,DET,5,121.0,K
Robbie Gould,SF,11,119.0,K
Dan Bailey,MIN,7,118.0,K
Sam Sloman,LAR,9,117.0,K
Chris Boswell,PIT,4,116.0,K
Jason Myers,SEA,6,116.0,K
Stephen Gostkowski,TEN,4,116.0,K
Ryan Succop,TB,13,116.0,K
Younghoe Koo,ATL,10,114.0,K
Brandon McManus,DEN,5,112.0,K
Austin Seibert,CLE,9,112.0,K
Justin Rohrwasser,NE,5,111.0,K
Rodrigo Blankenship,IND,7,111.0,K
Mason Crosby,GB,5,110.0,K
Jake Elliott,PHI,9,109.0,K
Ka'imi Fairbairn,HOU,8,108.0,K
Joey Slye,CAR,13,107.0,K
Eddy Pineiro,CHI,11,107.0,K
Josh Lambo,JAC,8,107.0,K
Randy Bullock,CIN,9,106.0,K
Tyler Bass,BUF,11,104.0,K
Graham Gano,NYG,11,103.0,K
Jason Sanders,MIA,7,101.0,K
Mike Badgley,LAC,6,99.0,K
Daniel Carlson,LV,6,99.0,K
Dustin Hopkins,WAS,8,99.0,K
Sam Ficken,NYJ,10,95.0,K
Pittsburgh Steelers,Pittsburgh Steelers,4,133.0,DEF
Los Angeles Rams,Los Angeles Rams,9,131.0,DEF
San Francisco 49ers,San Francisco 49ers,11,128.0,DEF
Kansas City Chiefs,Kansas City Chiefs,10,124.0,DEF
Philadelphia Eagles,Philadelphia Eagles,9,122.0,DEF
Baltimore Ravens,Baltimore Ravens,7,116.0,DEF
New England Patriots,New England Patriots,5,113.0,DEF
Minnesota Vikings,Minnesota Vikings,7,112.0,DEF
New Orleans Saints,New Orleans Saints,6,111.0,DEF
Buffalo Bills,Buffalo Bills,11,110.0,DEF
Indianapolis Colts,Indianapolis Colts,7,107.0,DEF
Tampa Bay Buccaneers,Tampa Bay Buccaneers,13,105.0,DEF
Houston Texans,Houston Texans,8,102.0,DEF
Denver Broncos,Denver Broncos,5,98.0,DEF
Cleveland Browns,Cleveland Browns,9,97.0,DEF
Washington Football Team,Washington Football Team,8,97.0,DEF
Jacksonville Jaguars,Jacksonville Jaguars,8,97.0,DEF
Seattle Seahawks,Seattle Seahawks,6,96.0,DEF
Carolina Panthers,Carolina Panthers,13,96.0,DEF
New York Jets,New York Jets,10,95.0,DEF
New York Giants,New York Giants,11,94.0,DEF
Detroit Lions,Detroit Lions,5,92.0,DEF
Green Bay Packers,Green Bay Packers,5,92.0,DEF
Tennessee Titans,Tennessee Titans,4,89.0,DEF
Arizona Cardinals,Arizona Cardinals,8,87.0,DEF
Los Angeles Chargers,Los Angeles Chargers,6,87.0,DEF
Chicago Bears,Chicago Bears,11,86.0,DEF
Miami Dolphins,Miami Dolphins,7,84.0,DEF
Cincinnati Bengals,Cincinnati Bengals,9,83.0,DEF
Dallas Cowboys,Dallas Cowboys,10,83.0,DEF
Atlanta Falcons,Atlanta Falcons,10,83.0,DEF
Las Vegas Raiders,Las Vegas Raiders,6,81.0,DEF
