name,team,bye,projected,pos
Dontrelle Inman,WAS,8,53.3,WR
Chris Hogan,NYJ,10,50.6,WR
Tre'Quan Smith,NO,6,49.7,WR
Riley Ridley,CHI,11,48.1,WR
JJ Arcega-Whiteside,PHI,9,47.4,WR
David Moore,SEA,6,47.0,WR
Demarcus Robinson,KC,10,47.0,WR
Rashard Higgins,CLE,9,46.5,WR
Damiere Byrd,NE,5,46.1,WR
Zach Pascal,IND,7,45.6,WR
Joe Reed,LAC,6,45.2,WR
Andy Isabella,ARI,8,45.1,WR
Devin Duvernay,BAL,7,44.9,WR
Equanimeous St. Brown,GB,5,42.6,WR
Scotty Miller,TB,13,42.0,WR
Denzel Mims,NYJ,10,41.5,WR
Antonio Gandy-Golden,WAS,8,40.0,WR
Trent Taylor,SF,11,37.5,WR
Greg Ward,PHI,9,36.0,WR
Tajae Sharpe,MIN,7,35.9,WR
Andre Roberts,BUF,11,35.4,WR
KeeSean Johnson,ARI,8,34.2,WR
Cordarrelle Patterson,CHI,11,34.1,WR
Christian Blake,ATL,10,33.4,WR
Nelson Agholor,LV,6,32.4,WR
Pharoh Cooper,CAR,13,31.4,WR
Auden Tate,CIN,9,30.7,WR
Javon Wims,CHI,11,28.5,WR
Ted Ginn Jr.,CHI,11,27.6,WR
KJ Hamler,DEN,5,25.7,WR
Deonte Harris,NO,6,25.1,WR
Kalif Raymond,TEN,4,23.5,WR
Cody Core,NYG,11,22.8,WR
Cedrick Wilson,DAL,10,19.1,WR
Seth Roberts,CAR,13,12.1,WR
Tyler Johnson,TB,13,11.6,WR
K.J. Osborn,MIN,7,11.3,WR
Justin Watson,TB,13,10.5,WR
Travis Kelce,KC,10,201.5,TE
George Kittle,SF,11,188.5,TE
Zach Ertz,PHI,9,168.0,TE
Darren Waller,LV,6,153.4,TE
Mark Andrews,BAL,7,148.7,TE
Hayden Hurst,ATL,10,137.2,TE
Evan Engram,NYG,11,122.6,TE
Chris Herndon,NYJ,10,122.4,TE
Tyler Higbee,LAR,9,121.5,TE
Mike Gesicki,MIA,7,117.9,TE
Rob Gronkowski,TB,13,116.7,TE
Noah Fant,DEN,5,116.6,TE
Jared Cook,NO,6,115.8,TE
Jonnu Smith,TEN,4,114.3,TE
Hunter Henry,LAC,6,110.1,TE
Austin Hooper,CLE,9,108.5,TE
Jack Doyle,IND,7,107.4,TE
T.J. Hockenson,DET,5,107.0,TE
Dallas Goedert,PHI,9,106.1,TE
Blake Jarwin,DAL,10,98.2,TE
Greg Olsen,SEA,6,98.0,TE
Eric Ebron,PIT,4,94.7,TE
Ian Thomas,CAR,13,94.1,TE
Darren Fells,HOU,8,87.5,TE
Dawson Knox,BUF,11,85.9,TE
Tyler Eifert,JAC,8,85.0,TE
Kyle Rudolph,MIN,7,84.6,TE
Irv Smith,MIN,7,75.9,TE
O.J. Howard,TB,13,72.3,TE
Nick Boyle,BAL,7,68.5,TE
Jimmy Graham,CHI,11,68.0,TE
Jace Sternberger,GB,5,65.0,TE
C.J. Uzomah,CIN,9,64.0,TE
David Njoku,CLE,9,63.7,TE
Gerald Everett,LAR,9,62.0,TE
Jordan Reed,SF,11,61.5,TE
Logan Thomas,WAS,8,61.4,TE
Will Dissly,SEA,6,55.4,TE
Devin Asiasi,NE,5,55.4,TE
Vance McDonald,PIT,4,55.3,TE
Robert Tonyan,GB,5,55.0,TE
Cole Kmet,CHI,11,50.9,TE
Jordan Akins,HOU,8,50.6,TE
Jason Witten,LV,6,49.5,TE
Jesse James,DET,5,46.1,TE
Trey Burton,IND,7,42.2,TE
Maxx Williams,ARI,8,41.6,TE
Anthony Firkser,TEN,4,40.1,TE
Ryan Griffin,NYJ,10,38.8,TE
Foster Moreau,LV,6,36.5,TE
Josh Hill,NO,6,35.5,TE
Tyler Kroft,BUF,11,35.0,TE
Cameron Brate,TB,13,34.2,TE
Jeremy Sprinkle,WAS,8,34.0,TE
Nick Vannett,DEN,5,32.1,TE
Jacob Hollister,SEA,6,27.9,TE
Blake Bell,DAL,10,27.6,TE
Dan Arnold,ARI,8,27.5,TE
Ricky Seals-Jones,KC,10,27.0,TE
Durham Smythe,MIA,7,23.3,TE
Jaeden Graham,ATL,10,21.0,TE
Deon Yelder,KC,10,18.8,TE
Demetrius Harris,CHI,11,18.6,TE
Chris Manhertz,CAR,13,17.7,TE
Kaden Smith,NYG,11,16.8,TE
Albert Okwuegbunam,DEN,5,15.4,TE
Virgil Green,LAC,6,13.3,TE
Mo Alie-Cox,IND,7,12.8,TE
Drew Sample,CIN,9,12.7,TE
Levine Toilolo,NYG,11,12.2,TE
Dalton Schultz,DAL,10,11.7,TE
Marcedes Lewis,GB,5,10.1,TE
Harrison Butker,KC,10,135.0,K
Justin Tucker,BAL,7,132.0,K
Wil Lutz,NO,6,132.0,K
Greg Zuerlein,DAL,10,122.0,K
Zane Gonzalez,ARI,8,122.0,K
Matt Prater,DET,5,121.0,K
Robbie Gould,SF,11,119.0,K
Dan Bailey,MIN,7,118.0,K
Sam Sloman,LAR,9,117.0,K
Chris Boswell,PIT,4,116.0,K
Jason Myers,SEA,6,116.0,K
Stephen Gostkowski,TEN,4,116.0,K
Ryan Succop,TB,13,116.0,K
Younghoe Koo,ATL,10,114.0,K
Brandon McManus,DEN,5,112.0,K
Austin Seibert,CLE,9,112.0,K
Justin Rohrwasser,NE,5,111.0,K
Rodrigo Blankenship,IND,7,111.0,K
Mason Crosby,GB,5,110.0,K
Jake Elliott,PHI,9,109.0,K
Ka'imi Fairbairn,HOU,8,108.0,K
Joey Slye,CAR,13,107.0,K
Eddy Pineiro,CHI,11,107.0,K
Josh Lambo,JAC,8,107.0,K
Randy Bullock,CIN,9,106.0,K
Tyler Bass,BUF,11,104.0,K
Graham Gano,NYG,11,103.0,K
Jason Sanders,MIA,7,101.0,K
Mike Badgley,LAC,6,99.0,K
Daniel Carlson,LV,6,99.0,K
Dustin Hopkins,WAS,8,99.0,K
Sam Ficken,NYJ,10,95.0,K
Pittsburgh Steelers,Pittsburgh Steelers,4,133.0,DEF
Los Angeles Rams,Los Angeles Rams,9,131.0,DEF
San Francisco 49ers,San Francisco 49ers,11,128.0,DEF
Kansas City Chiefs,Kansas City Chiefs,10,124.0,DEF
Philadelphia Eagles,Philadelphia Eagles,9,122.0,DEF
Baltimore Ravens,Baltimore Ravens,7,116.0,DEF
New England Patriots,New England Patriots,5,113.0,DEF
Minnesota Vikings,Minnesota Vikings,7,112.0,DEF
New Orleans Saints,New Orleans Saints,6,111.0,DEF
Buffalo Bills,Buffalo Bills,11,110.0,DEF
Indianapolis Colts,Indianapolis Colts,7,107.0,DEF
Tampa Bay Buccaneers,Tampa Bay Buccaneers,13,105.0,DEF
Houston Texans,Houston Texans,8,102.0,DEF
Denver Broncos,Denver Broncos,5,98.0,DEF
Cleveland Browns,Cleveland Browns,9,97.0,DEF
Washington Football Team,Washington Football Team,8,97.0,DEF
Jacksonville Jaguars,Jacksonville Jaguars,8,97.0,DEF
Seattle Seahawks,Seattle Seahawks,6,96.0,DEF
Carolina Panthers,Carolina Panthers,13,96.0,DEF
New York Jets,New York Jets,10,95.0,DEF
New York Giants,New York Giants,11,94.0,DEF
Detroit Lions,Detroit Lions,5,92.0,DEF
Green Bay Packers,Green Bay Packers,5,92.0,DEF
Tennessee Titans,Tennessee Titans,4,89.0,DEF
Arizona Cardinals,Arizona Cardinals,8,87.0,DEF
Los Angeles Chargers,Los Angeles Chargers,6,87.0,DEF
Chicago Bears,Chicago Bears,11,86.0,DEF
Miami Dolphins,Miami Dolphins,7,84.0,DEF
Cincinnati Bengals,Cincinnati Bengals,9,83.0,DEF
Dallas Cowboys,Dallas Cowboys,10,83.0,DEF
Atlanta Falcons,Atlanta Falcons,10,83.0,DEF
Las Vegas Raiders,Las Vegas Raiders,6,81.0,DEF
